	I_D	FLAG_TSUNAMI	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MW	EQ_MAG_MS	EQ_MAG_MB	EQ_MAG_ML	EQ_MAG_MFA	EQ_MAG_UNK	INTENSITY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION	COORDS
94	9988	Tsu	315															ISRAEL		ISRAEL:  AEROPOLIS	  31.700	   35.500	140.0								1.0												1.0					('  31.700', '   35.500')
95	7900		319	6.0	17.0					4.5		4.5						CHINA		CHINA:  GANSU PROVINCE:  XIHE	  34.100	  105.300	30.0		2.0												2.0											('  34.100', '  105.300')
96	77		324	8.0	6.0			    									10.0	ITALY		ITALY:  CAMPANIA	  40.500	   14.500	130.0																									('  40.500', '   14.500')
97	78		334					    									10.0	ALBANIA		ALBANIA:  DURRES	  41.200	   19.300	130.0																									('  41.200', '   19.300')
98	79		340					    									9.0	TURKEY		TURKEY:  ANTAKYA (ANTIOCH)	  36.100	   36.100	140.0								3.0																	('  36.100', '   36.100')
99	80		341					    									7.0	TURKEY		TURKEY:  ANTAKYA (ANTIOCH)	  36.200	   36.100	140.0																									('  36.200', '   36.100')
100	81		342															TURKEY		TURKEY:  ANTAKYA (ANTIOCH)	  36.200	   36.100	140.0	40000.0	4.0						4.0					40000.0	4.0						4.0					('  36.200', '   36.100')
101	82		342														10.0	ALBANIA		ALBANIA:  DURRES	  41.300	   19.500	130.0								2.0												2.0					('  41.300', '   19.500')
102	85		344	4.0	11.0												10.0	ITALY		ITALY:  CAMPANIA	  40.500	   14.500	130.0																									('  40.500', '   14.500')
103	84	Tsu	344														9.0	TURKEY		TURKEY:  DARDANELLES	  40.300	   26.500	140.0								3.0												3.0					('  40.300', '   26.500')
104	83		344															CHINA		CHINA:  HENAN PROVINCE	  35.400	  114.300	30.0	101.0	3.0											101.0	3.0											('  35.400', '  114.300')
105	9989	Tsu	346							6.8		6.8					9.0	ALBANIA		ALBANIA:  DURRES (DYRRACHIUM)	  41.400	   19.400	130.0								2.0		3.0										2.0		3.0			('  41.400', '   19.400')
106	86	Tsu	348														9.0	LEBANON		LEBANON:  BAYRUT (BEROUTH)	  33.900	   35.500	140.0								3.0																	('  33.900', '   35.500')
107	87		350	10.0				    									10.0	TURKEY		TURKEY	  41.000	   30.000	140.0																									('  41.000', '   30.000')
108	88		355					    									9.0	TURKEY		TURKEY:  IZMIT,NICOMEDIA	  40.700	   29.700	140.0								3.0																	('  40.700', '   29.700')
109	89	Tsu	358	8.0	24.0												7.0	TURKEY		TURKEY:  IZNIK, IZMIT [NICOMEDIA]	  40.770	   29.900	140.0		3.0						3.0						3.0						3.0		3.0			('  40.770', '   29.900')
110	91		361														12.0	MACEDONIA		BALKANS NW:  MACEDONIA:  STOBI	  41.600	   21.500	130.0								4.0																	('  41.600', '   21.500')
111	92	Tsu	362	5.0	24.0					6.4		6.4						JORDAN		JORDAN:  AL-KARAK	  31.300	   35.600	140.0								3.0												3.0					('  31.300', '   35.600')
112	93		362	12.0	2.0												10.0	TURKEY		TURKEY	  41.000	   29.500	140.0																									('  41.000', '   29.500')
113	95	Tsu	365	7.0	21.0					8.0		8.0					11.0	GREECE		GREECE:  CRETE:  KNOSSOS	  35.000	   23.000	130.0		3.0						4.0		3.0		3.0	5000.0	4.0						4.0		3.0			('  35.000', '   23.000')
114	98		367	10.0	11.0			    										TURKEY		TURKEY:  IZNIK,NICAEA	  40.700	   29.700	140.0	1000.0	3.0						3.0																	('  40.700', '   29.700')
115	99		368	10.0	11.0													TURKEY		TURKEY:  NICAEA [IZNIK]	  40.000	   29.000	140.0								3.0												3.0					('  40.000', '   29.000')
116	8239		368							6.4		6.4					8.0	TURKEY		TURKEY:  MARMARA SEA	  40.500	   29.600	140.0								2.0												2.0					('  40.500', '   29.600')
117	100		369														10.0	ITALY		ITALY:  BENEVENTO	  41.100	   14.800	130.0																									('  41.100', '   14.800')
118	9758	Tsu	382															PORTUGAL		PORTUGAL:  CABO SAN VICENTE:  SW	  36.000	  -10.830	130.0																									('  36.000', '  -10.830')
119	101		394					    									9.0	TURKEY		TURKEY:  ANTAKYA (ANTIOCH)	  36.100	   36.100	140.0								3.0																	('  36.100', '   36.100')
120	102		396					    									9.0	TURKEY		TURKEY:  ANTAKYA (ANTIOCH)	  36.100	   36.100	140.0								3.0																	('  36.100', '   36.100')
121	5885	Tsu	407	4.0	1.0					6.6		6.6					8.0	TURKEY		TURKEY:  MARMARA SEA	  41.000	   29.000	140.0								1.0												1.0					('  41.000', '   29.000')
122	103		412														10.0	TUNISIA		TUNISIA:  UTIQUE	  37.067	   10.067	15.0																									('  37.067', '   10.067')
123	104		419															ISRAEL		ISRAEL:  PALESTINE	  31.200	   34.200	140.0								3.0																	('  31.200', '   34.200')
124	106		425														10.0	ISRAEL		ISRAEL:  JERUSALEM, PALESTINE, RAMLEH; EGYPT	  31.900	   34.900	140.0								3.0												3.0					('  31.900', '   34.900')
125	109		427					    	12.0	6.7						6.7	10.0	AZERBAIJAN		AZERBAIJAN	  40.500	   46.500	40.0								3.0																	('  40.500', '   46.500')
126	110		438					    									10.0	GREECE		GREECE:  CRETE	  35.500	   25.500	130.0																									('  35.500', '   25.500')
127	112		440	10.0	26.0			    									7.0	TURKEY		TURKEY:  ISTANBUL (CONSTANTINOPLE)	  41.000	   29.000	140.0								3.0																	('  41.000', '   29.000')
128	5887	Tsu	447	1.0	26.0					7.3		7.3					9.0	TURKEY		TURKEY:  ISTANBUL (CONSTANTINOPLE)	  40.900	   28.500	140.0		3.0						3.0		3.0				3.0						3.0		3.0			('  40.900', '   28.500')
129	114		448	9.0	6.0			    									10.0	GREECE		GREECE:  CRETE	  35.000	   25.000	130.0																									('  35.000', '   25.000')
130	9972	Tsu	450														5.0	TURKEY		INSTANBUL (CONSTANTINOPLE)	  40.400	   28.400	140.0																									('  40.400', '   28.400')
131	115		457														10.0	TURKEY		TURKEY:  ANTAKYA (ANTIOCH)	  36.200	   36.100	140.0								4.0												4.0					('  36.200', '   36.100')
132	116		458	9.0													9.0	TURKEY		TURKEY:  ANTAKYA (ANTIOCH)	  36.200	   36.100	140.0	80000.0	4.0						3.0					80000.0	4.0						3.0					('  36.200', '   36.100')
133	117		460	7.0	22.0												12.0	THAILAND		THAILAND:  YONOK-NAGABANDHU	  20.300	  100.000	60.0		3.0						3.0						3.0						3.0					('  20.300', '  100.000')
134	118		470					    										FRANCE		FRANCE:  VIENNE,VIVARAIS,DAUPHINE,VELAY,FOREZ	  44.400	    4.300	120.0								3.0																	('  44.400', '    4.300')
135	119		477	9.0	25.0			    									10.0	TURKEY		TURKEY:  ISTANBUL (CONSTANTINOPLE)	  41.000	   29.000	140.0		3.0						3.0																	('  41.000', '   29.000')
136	5888	Tsu	478	9.0	25.0					7.2		7.2					9.0	TURKEY		TURKEY:  MARMARA SEA	  40.800	   29.200	140.0																									('  40.800', '   29.200')
137	121		494					    									10.0	LEBANON		LEBANON:  TARABULUS (TRIPOLIS); SYRIA	  34.300	   35.500	140.0								3.0																	('  34.300', '   35.500')
138	8090		499	8.0	4.0												6.0	CHINA		CHINA:  JIANGSU PROVINCE	  32.100	  118.800	30.0								2.0		3.0										2.0		3.0			('  32.100', '  118.800')
139	122		500					    	20.0	6.7						6.7	8.0	KAZAKHSTAN		KAZAKHSTAN	  42.700	   76.500	40.0								3.0																	('  42.700', '   76.500')
140	123		501							6.3						6.3	8.0	NORTH KOREA		NORTH KOREA:  PYONGYANG	  39.000	  125.300	30.0		3.0						2.0																	('  39.000', '  125.300')
141	124		510					    		6.3						6.3	8.0	SOUTH KOREA		SOUTH KOREA:  KYONGJU	  35.500	  129.100	30.0		3.0						2.0																	('  35.500', '  129.100')
142	125		512	5.0	21.0					7.5		7.5					10.0	CHINA		CHINA:  SHAANXI PROVINCE:  YINGXIAN	  39.400	  113.300	30.0	5130.0	4.0			2720.0	4.0		4.0					5130.0	4.0			2720.0	4.0		4.0					('  39.400', '  113.300')
143	126		518														12.0	MACEDONIA		BALKANS NW:  MACEDONIA:  SKOPJE, STAMER	  42.000	   21.400	130.0								4.0																	('  42.000', '   21.400')
